#word	#freq
فى	31
فخرى	11
اللى	7
(بابا	5
اسكندريه)	5
الاول	5
القاياتي	4
حنا‮.	4
نيوكاسل	4
«الوفد»	4
جرجا،	4
وويصا	4
وواصف‮	4
الشريعي	4
سوهاج.وواحد	4
الغرابلي	4
هى	4
1942)	4
(1881-9	4
،	3
السلوم	3
المرقسية	3
اسكندرية	3
داریوش	3
الجامعه	2
عبدالنور	2
المصرى	2
التانى	2
او	2
ابريل	2
رودولف	2
يوساب	2
التاني،	2
دابود	2
و21	2
ايام	2
بتعتبر	2
بالابحاث	1
شيراز	1
الرومانى	1
باللاتينى:	1
الى	1
دورهام	1
alias	1
العالى	1
(دارا	1
الرابع.البيرت	1
الثيولوجيا.	1
اكتوبر	1
Wien	1
البحرى	1
هانم	1
م،	1
المقدسه	1
52،	1
الاداب	1
الثانية،	1
و11	1
"جامعة	1
المقبره	1
المراغي	1
ايام،	1
الرومانيه	1
المانى	1
غبريال	1
الطبيعيه	1
خائيل	1
الازهر	1
اول	1
اتأسست	1
البيزنيس	1
اتالت	1
مصرى،	1
الأولانى،	1
الشمالى	1
Alma	1
محامى	1
بحوالى	1
ابراهيم	1
ابون	1
54،	1
ڤيينا	1
بحرى	1
كم2	1
تاين"	1
والعشوائيات،	1
الانظمة	1
(ادارة	1
وموريس	1
سمنود.	1
الاولانى	1
عبدالنور,وأمين	1
اعلنت	1
Vindobonensis	1
الأولانى	1
سوريال،	1
واولاده	1
امر	1
يمثلو	1
صرفو	1
واتوفى	1
تانين	1
mater	1
علي،	1
اوروبا.	1
اعمال)	1
(بالالمانى:Universität	1
Rudolphina")	1
المتوسط،	1
تانى	1
بتحتل	1
النور,	1
عضوً	1
ايران.	1
هابسبورج.من	1
الامبراطور	1
ويومين،	1
الاول)	1
المصرية،	1
ابتدت	1
ساحلى	1
البشموريين	1
كارول	1
"Universitas	1
الجامعه:	1
بتهتم	1
بتتكلم	1
الاثرية	1
فقط.عاصر	1
منوف.	1
اتبرعولها	1
يوم،	1
و28	1
كتير	1
الامبراطوريه	1
دايرة	1
الجغرافيه.	1
الطلبه	1
والاجتماعية،	1
ایرانی،	1
العلميه	1
داريوش	1
انهارده	1
اثرى	1
برسيبوليس	1
بتاعتها	1
سوهاج	1
ال	1
الحالى	1
